NewsAgency,Compound,Positive,Negative,Neutral,Tweets_Ago
@CBS,0.624,0.203,0.0,0.797,20
@CBS,0.586,0.174,0.0,0.826,21
@CBS,0.114,0.083,0.0,0.917,22
@CBS,0.0,0.0,0.0,1.0,23
@CBS,0.0,0.0,0.0,1.0,24
@CBS,0.338,0.131,0.061,0.808,25
@CBS,0.187,0.08,0.0,0.92,26
@CBS,0.42,0.285,0.0,0.715,27
@CBS,0.0,0.0,0.0,1.0,28
@CBS,0.36,0.151,0.0,0.849,29
@CBS,0.718,0.261,0.0,0.739,30
@CBS,0.187,0.093,0.0,0.907,31
@CBS,0.0,0.0,0.0,1.0,32
@CBS,0.556,0.146,0.0,0.854,33
@CBS,0.75,0.242,0.0,0.758,34
@CBS,0.557,0.159,0.0,0.841,35
@CBS,0.38,0.11,0.0,0.89,36
@CBS,0.34,0.112,0.0,0.888,37
@CBS,0.586,0.174,0.0,0.826,38
@CBS,0.84,0.4,0.0,0.6,39
@CBS,-0.459,0.163,0.26,0.577,40
@CBS,0.0,0.0,0.0,1.0,41
@CBS,0.778,0.228,0.0,0.772,42
@CBS,0.296,0.095,0.0,0.905,43
@CBS,0.637,0.234,0.0,0.766,44
@CBS,0.46,0.143,0.0,0.857,45
@CBS,0.812,0.33,0.0,0.67,46
@CBS,-0.206,0.07,0.109,0.821,47
@CBS,0.42,0.141,0.0,0.859,48
@CBS,0.0,0.0,0.0,1.0,49
@CBS,0.494,0.144,0.0,0.856,50
@CBS,-0.361,0.0,0.122,0.878,51
@CBS,0.648,0.243,0.082,0.674,52
@CBS,0.908,0.408,0.0,0.592,53
@CBS,-0.762,0.111,0.303,0.586,54
@CBS,0.361,0.2,0.0,0.8,55
@CBS,-0.34,0.132,0.264,0.604,56
@CBS,0.735,0.267,0.0,0.733,57
@CBS,0.724,0.252,0.0,0.748,58
@CBS,0.128,0.119,0.09,0.791,59
@CBS,0.726,0.253,0.0,0.747,60
@CBS,-0.077,0.069,0.085,0.847,61
@CBS,0.659,0.278,0.0,0.722,62
@CBS,0.318,0.095,0.0,0.905,63
@CBS,0.818,0.333,0.0,0.667,64
@CBS,0.84,0.391,0.0,0.609,65
@CBS,-0.46,0.0,0.2,0.8,66
@CBS,0.457,0.15,0.0,0.85,67
@CBS,0.66,0.242,0.075,0.683,68
@CBS,0.0,0.0,0.0,1.0,69
@CBS,0.509,0.13,0.0,0.87,70
@CBS,0.7,0.225,0.0,0.775,71
@CBS,0.556,0.264,0.0,0.736,72
@CBS,0.0,0.0,0.0,1.0,73
@CBS,0.0,0.0,0.0,1.0,74
@CBS,0.0,0.0,0.0,1.0,75
@CBS,0.827,0.299,0.0,0.701,76
@CBS,0.878,0.373,0.0,0.627,77
@CBS,0.0,0.0,0.0,1.0,78
@CBS,0.382,0.14,0.0,0.86,79
@CBS,0.836,0.33,0.0,0.67,80
@CBS,0.0,0.0,0.0,1.0,81
@CBS,0.75,0.313,0.0,0.687,82
@CBS,0.572,0.163,0.0,0.837,83
@CBS,0.624,0.221,0.0,0.779,84
@CBS,0.67,0.224,0.0,0.776,85
@CBS,0.402,0.137,0.0,0.863,86
@CBS,-0.402,0.0,0.105,0.895,87
@CBS,0.0,0.0,0.0,1.0,88
@CBS,0.0,0.0,0.0,1.0,89
@CBS,0.488,0.174,0.0,0.826,90
@CBS,0.494,0.132,0.0,0.868,91
@CBS,0.42,0.128,0.0,0.872,92
@CBS,0.854,0.355,0.0,0.645,93
@CBS,0.599,0.196,0.0,0.804,94
@CBS,0.228,0.16,0.122,0.718,95
@CBS,0.0,0.0,0.0,1.0,96
@CBS,0.0,0.0,0.0,1.0,97
@CBS,0.0,0.0,0.0,1.0,98
@CBS,0.0,0.0,0.0,1.0,99
@CBS,0.271,0.123,0.071,0.806,100
@CNN,-0.69,0.0,0.262,0.738,1
@CNN,0.612,0.238,0.0,0.762,2
@CNN,-0.599,0.0,0.151,0.849,3
@CNN,-0.296,0.0,0.176,0.824,4
@CNN,0.818,0.319,0.0,0.681,5
@CNN,0.765,0.329,0.145,0.526,6
@CNN,0.586,0.223,0.074,0.703,7
@CNN,-0.649,0.0,0.218,0.782,8
@CNN,0.273,0.1,0.0,0.9,9
@CNN,-0.557,0.0,0.159,0.841,10
@CNN,-0.296,0.0,0.115,0.885,11
@CNN,0.593,0.185,0.0,0.815,12
@CNN,-0.103,0.0,0.072,0.928,13
@CNN,0.0,0.0,0.0,1.0,14
@CNN,-0.477,0.0,0.154,0.846,15
@CNN,0.0,0.0,0.0,1.0,16
@CNN,0.67,0.297,0.085,0.618,17
@CNN,0.649,0.238,0.0,0.762,18
@CNN,0.0,0.0,0.0,1.0,19
@CNN,0.539,0.148,0.0,0.852,20
@CNN,0.586,0.153,0.0,0.847,21
@CNN,0.361,0.122,0.0,0.878,22
@CNN,-0.727,0.0,0.319,0.681,23
@CNN,-0.649,0.0,0.218,0.782,24
@CNN,-0.751,0.0,0.274,0.726,25
@CNN,0.0,0.0,0.0,1.0,26
@CNN,0.329,0.093,0.0,0.907,27
@CNN,0.0,0.0,0.0,1.0,28
@CNN,0.0,0.0,0.0,1.0,29
@CNN,0.422,0.118,0.0,0.882,30
@CNN,0.422,0.219,0.0,0.781,31
@CNN,0.765,0.329,0.145,0.526,32
@CNN,0.0,0.0,0.0,1.0,33
@CNN,0.0,0.0,0.0,1.0,34
@CNN,0.0,0.0,0.0,1.0,35
@CNN,0.273,0.265,0.221,0.514,36
@CNN,-0.402,0.0,0.119,0.881,37
@CNN,-0.751,0.0,0.33,0.67,38
@CNN,-0.599,0.0,0.151,0.849,39
@CNN,0.44,0.132,0.0,0.868,40
@CNN,0.772,0.251,0.0,0.749,41
@CNN,0.0,0.0,0.0,1.0,42
@CNN,0.202,0.087,0.0,0.913,43
@CNN,0.178,0.13,0.097,0.773,44
@CNN,-0.296,0.0,0.176,0.824,45
@CNN,0.0,0.0,0.0,1.0,46
@CNN,-0.458,0.0,0.187,0.813,47
@CNN,-0.077,0.0,0.067,0.933,48
@CNN,0.66,0.178,0.0,0.822,49
@CNN,0.273,0.116,0.0,0.884,50
@CNN,0.539,0.148,0.0,0.852,51
@CNN,-0.341,0.0,0.211,0.789,52
@CNN,0.557,0.187,0.0,0.813,53
@CNN,0.0,0.0,0.0,1.0,54
@CNN,0.0,0.0,0.0,1.0,55
@CNN,0.34,0.112,0.0,0.888,56
@CNN,-0.382,0.0,0.167,0.833,57
@CNN,0.0,0.0,0.0,1.0,58
@CNN,0.572,0.171,0.0,0.829,59
@CNN,0.586,0.153,0.0,0.847,60
@CNN,0.0,0.0,0.0,1.0,61
@CNN,0.0,0.119,0.119,0.763,62
@CNN,0.612,0.238,0.0,0.762,63
@CNN,0.382,0.302,0.0,0.698,64
@CNN,0.494,0.144,0.0,0.856,65
@CNN,0.458,0.214,0.0,0.786,66
@CNN,-0.599,0.0,0.151,0.849,67
@CNN,0.0,0.0,0.0,1.0,68
@CNN,-0.296,0.0,0.176,0.824,69
@CNN,0.361,0.122,0.0,0.878,70
@CNN,0.765,0.329,0.145,0.526,71
@CNN,-0.459,0.0,0.143,0.857,72
@CNN,0.0,0.0,0.0,1.0,73
@CNN,0.0,0.0,0.0,1.0,74
@CNN,0.0,0.0,0.0,1.0,75
@CNN,0.402,0.13,0.0,0.87,76
@CNN,0.586,0.223,0.074,0.703,77
@CNN,0.0,0.0,0.0,1.0,78
@CNN,0.0,0.0,0.0,1.0,79
@CNN,-0.612,0.0,0.238,0.762,80
@CNN,0.637,0.206,0.0,0.794,81
@CNN,0.361,0.16,0.089,0.751,82
@CNN,0.0,0.0,0.0,1.0,83
@CNN,0.273,0.1,0.0,0.9,84
@CNN,0.0,0.0,0.0,1.0,85
@CNN,0.0,0.0,0.0,1.0,86
@CNN,-0.273,0.0,0.104,0.896,87
@CNN,0.0,0.0,0.0,1.0,88
@CNN,0.0,0.0,0.0,1.0,89
@CNN,0.226,0.106,0.0,0.894,90
@CNN,0.0,0.0,0.0,1.0,91
@CNN,0.852,0.354,0.0,0.646,92
@CNN,0.735,0.323,0.0,0.677,93
@CNN,0.026,0.058,0.0,0.942,94
@CNN,0.422,0.219,0.0,0.781,95
@CNN,-0.36,0.082,0.146,0.773,96
@CNN,0.0,0.0,0.0,1.0,97
@CNN,0.0,0.0,0.0,1.0,98
@CNN,0.586,0.153,0.0,0.847,99
@CNN,0.822,0.35,0.0,0.65,100
@Fox,0.494,0.238,0.107,0.656,1
@Fox,0.477,0.227,0.0,0.773,2
@Fox,-0.026,0.1,0.143,0.757,3
@Fox,0.44,0.325,0.162,0.513,4
@Fox,-0.188,0.105,0.137,0.758,5
@Fox,-0.494,0.0,0.154,0.846,6
@Fox,0.273,0.126,0.07,0.804,7
@Fox,0.0,0.0,0.0,1.0,8
@Fox,0.0,0.0,0.0,1.0,9
@Fox,-0.382,0.235,0.289,0.476,10
@Fox,0.128,0.148,0.096,0.756,11
@Fox,0.42,0.255,0.103,0.642,12
@Fox,0.691,0.289,0.0,0.711,13
@Fox,-0.422,0.081,0.136,0.783,14
@Fox,-0.612,0.0,0.208,0.792,15
@Fox,0.852,0.394,0.101,0.505,16
@Fox,0.796,0.336,0.0,0.664,17
@Fox,0.784,0.354,0.07,0.576,18
@Fox,0.659,0.226,0.0,0.774,19
@Fox,0.0,0.0,0.0,1.0,20
@Fox,0.542,0.164,0.0,0.836,21
@Fox,0.224,0.159,0.0,0.841,22
@Fox,0.0,0.0,0.0,1.0,23
@Fox,0.511,0.223,0.0,0.777,24
@Fox,0.0,0.0,0.0,1.0,25
@Fox,0.226,0.095,0.0,0.905,26
@Fox,0.735,0.348,0.105,0.547,27
@Fox,0.34,0.094,0.0,0.906,28
@Fox,0.0,0.0,0.0,1.0,29
@Fox,0.0,0.0,0.0,1.0,30
@Fox,0.0,0.0,0.0,1.0,31
@Fox,0.0,0.0,0.0,1.0,32
@Fox,0.402,0.137,0.0,0.863,33
@Fox,0.784,0.301,0.0,0.699,34
@Fox,0.0,0.0,0.0,1.0,35
@Fox,-0.4,0.094,0.2,0.706,36
@Fox,0.7,0.491,0.0,0.509,37
@Fox,-0.296,0.0,0.167,0.833,38
@Fox,0.0,0.0,0.0,1.0,39
@Fox,0.822,0.398,0.0,0.602,40
@Fox,-0.179,0.0,0.082,0.918,41
@Fox,0.557,0.34,0.0,0.66,42
@Fox,0.0,0.0,0.0,1.0,43
@Fox,0.178,0.131,0.107,0.761,44
@Fox,0.802,0.338,0.099,0.563,45
@Fox,-0.103,0.146,0.194,0.66,46
@Fox,0.818,0.298,0.0,0.702,47
@Fox,0.807,0.233,0.0,0.767,48
@Fox,0.649,0.17,0.0,0.83,49
@Fox,0.153,0.195,0.175,0.629,50
@Fox,0.42,0.411,0.0,0.589,51
@Fox,-0.103,0.094,0.108,0.799,52
@Fox,0.541,0.155,0.0,0.845,53
@Fox,0.296,0.115,0.0,0.885,54
@Fox,0.361,0.128,0.0,0.872,55
@Fox,0.318,0.19,0.141,0.669,56
@Fox,0.508,0.147,0.0,0.853,57
@Fox,0.402,0.109,0.0,0.891,58
@Fox,0.718,0.231,0.0,0.769,59
@Fox,-0.028,0.139,0.144,0.718,60
@Fox,0.637,0.167,0.0,0.833,61
@Fox,0.0,0.0,0.0,1.0,62
@Fox,-0.273,0.065,0.113,0.823,63
@Fox,0.361,0.135,0.0,0.865,64
@Fox,0.077,0.058,0.0,0.942,65
@Fox,0.0,0.0,0.0,1.0,66
@Fox,0.502,0.153,0.0,0.847,67
@Fox,0.0,0.0,0.0,1.0,68
@Fox,0.0,0.0,0.0,1.0,69
@Fox,0.682,0.397,0.0,0.603,70
@Fox,0.42,0.157,0.0,0.843,71
@Fox,0.026,0.114,0.155,0.731,72
@Fox,0.114,0.1,0.0,0.9,73
@Fox,0.557,0.184,0.0,0.816,74
@Fox,0.851,0.328,0.061,0.611,75
@Fox,0.844,0.363,0.0,0.637,76
@Fox,0.361,0.106,0.0,0.894,77
@Fox,0.42,0.141,0.0,0.859,78
@Fox,-0.103,0.0,0.065,0.935,79
@Fox,0.891,0.358,0.0,0.642,80
@Fox,0.477,0.181,0.0,0.819,81
@Fox,0.0,0.0,0.0,1.0,82
@Fox,0.0,0.0,0.0,1.0,83
@Fox,0.153,0.129,0.105,0.766,84
@Fox,0.637,0.426,0.0,0.574,85
@Fox,0.459,0.167,0.0,0.833,86
@Fox,0.727,0.289,0.0,0.711,87
@Fox,0.0,0.0,0.0,1.0,88
@Fox,0.0,0.0,0.0,1.0,89
@Fox,0.778,0.43,0.0,0.57,90
@Fox,0.509,0.13,0.0,0.87,91
@Fox,-0.585,0.0,0.202,0.798,92
@Fox,0.272,0.13,0.0,0.87,93
@Fox,0.0,0.0,0.0,1.0,94
@Fox,0.743,0.24,0.0,0.76,95
@Fox,0.0,0.0,0.0,1.0,96
@Fox,0.0,0.0,0.0,1.0,97
@Fox,0.0,0.0,0.0,1.0,98
@Fox,0.493,0.158,0.0,0.842,99
@Fox,0.771,0.626,0.0,0.374,100
@nytimes,-0.153,0.0,0.151,0.849,1
@nytimes,0.807,0.278,0.0,0.722,2
@nytimes,-0.402,0.0,0.13,0.87,3
@nytimes,-0.67,0.0,0.647,0.353,4
@nytimes,-0.128,0.116,0.137,0.747,5
@nytimes,0.822,0.309,0.0,0.691,6
@nytimes,0.202,0.129,0.095,0.776,7
@nytimes,0.0,0.0,0.0,1.0,8
@nytimes,-0.296,0.0,0.099,0.901,9
@nytimes,0.586,0.16,0.0,0.84,10
@nytimes,0.19,0.077,0.0,0.923,11
@nytimes,0.649,0.346,0.0,0.654,12
@nytimes,-0.241,0.0,0.094,0.906,13
@nytimes,0.0,0.0,0.0,1.0,14
@nytimes,0.0,0.0,0.0,1.0,15
@nytimes,0.0,0.0,0.0,1.0,16
@nytimes,0.0,0.0,0.0,1.0,17
@nytimes,0.0,0.0,0.0,1.0,18
@nytimes,-0.625,0.0,0.212,0.788,19
@nytimes,0.402,0.144,0.065,0.791,20
@nytimes,-0.273,0.057,0.114,0.829,21
@nytimes,-0.735,0.0,0.324,0.676,22
@nytimes,0.813,0.291,0.0,0.709,23
@nytimes,0.0,0.0,0.0,1.0,24
@nytimes,0.0,0.0,0.0,1.0,25
@nytimes,0.0,0.0,0.0,1.0,26
@nytimes,0.0,0.0,0.0,1.0,27
@nytimes,0.0,0.0,0.0,1.0,28
@nytimes,0.128,0.122,0.103,0.775,29
@nytimes,0.0,0.0,0.0,1.0,30
@nytimes,0.0,0.0,0.0,1.0,31
@nytimes,-0.077,0.138,0.151,0.711,32
@nytimes,0.477,0.147,0.0,0.853,33
@nytimes,0.0,0.0,0.0,1.0,34
@nytimes,0.273,0.152,0.107,0.741,35
@nytimes,-0.599,0.0,0.187,0.813,36
@nytimes,0.743,0.296,0.0,0.704,37
@nytimes,0.361,0.128,0.0,0.872,38
@nytimes,0.361,0.116,0.0,0.884,39
@nytimes,-0.727,0.0,0.253,0.747,40
@nytimes,0.202,0.153,0.0,0.847,41
@nytimes,0.637,0.239,0.092,0.669,42
@nytimes,0.727,0.289,0.0,0.711,43
@nytimes,-0.875,0.0,0.321,0.679,44
@nytimes,-0.67,0.0,0.191,0.809,45
@nytimes,-0.026,0.136,0.14,0.723,46
@nytimes,0.511,0.155,0.0,0.845,47
@nytimes,0.0,0.0,0.0,1.0,48
@nytimes,0.637,0.16,0.0,0.84,49
@nytimes,-0.296,0.0,0.136,0.864,50
@nytimes,0.0,0.0,0.0,1.0,51
@nytimes,0.457,0.499,0.0,0.501,52
@nytimes,0.791,0.333,0.0,0.667,53
@nytimes,0.0,0.0,0.0,1.0,54
@nytimes,0.586,0.213,0.0,0.787,55
@nytimes,-0.296,0.0,0.216,0.784,56
@nytimes,-0.296,0.0,0.091,0.909,57
@nytimes,0.0,0.0,0.0,1.0,58
@nytimes,-0.318,0.0,0.277,0.723,59
@nytimes,-0.807,0.0,0.356,0.644,60
@nytimes,0.0,0.0,0.0,1.0,61
@nytimes,0.361,0.217,0.0,0.783,62
@nytimes,0.44,0.293,0.0,0.707,63
@nytimes,0.0,0.0,0.0,1.0,64
@nytimes,0.637,0.167,0.0,0.833,65
@nytimes,0.25,0.105,0.0,0.895,66
@nytimes,0.527,0.145,0.0,0.855,67
@nytimes,-0.153,0.109,0.129,0.762,68
@nytimes,0.612,0.278,0.0,0.722,69
@nytimes,0.599,0.158,0.049,0.792,70
@nytimes,-0.422,0.0,0.286,0.714,71
@nytimes,0.0,0.0,0.0,1.0,72
@nytimes,0.511,0.248,0.0,0.752,73
@nytimes,-0.758,0.075,0.303,0.622,74
@nytimes,-0.625,0.0,0.17,0.83,75
@nytimes,0.81,0.294,0.0,0.706,76
@nytimes,0.0,0.0,0.0,1.0,77
@nytimes,-0.25,0.173,0.232,0.595,78
@nytimes,0.718,0.261,0.077,0.662,79
@nytimes,0.0,0.0,0.0,1.0,80
@nytimes,0.357,0.121,0.0,0.879,81
@nytimes,0.586,0.257,0.0,0.743,82
@nytimes,0.273,0.248,0.168,0.584,83
@nytimes,0.0,0.0,0.0,1.0,84
@nytimes,-0.202,0.129,0.163,0.708,85
@nytimes,-0.34,0.0,0.107,0.893,86
@nytimes,-0.039,0.0,0.052,0.948,87
@nytimes,-0.557,0.148,0.322,0.53,88
@nytimes,0.103,0.139,0.12,0.741,89
@nytimes,0.226,0.095,0.0,0.905,90
@nytimes,0.0,0.0,0.0,1.0,91
@nytimes,-0.103,0.0,0.065,0.935,92
@nytimes,0.572,0.163,0.0,0.837,93
@nytimes,0.318,0.223,0.13,0.648,94
@nytimes,0.791,0.273,0.045,0.682,95
@nytimes,0.0,0.0,0.0,1.0,96
@nytimes,0.0,0.0,0.0,1.0,97
@nytimes,0.296,0.113,0.061,0.826,98
@nytimes,0.0,0.0,0.0,1.0,99
@nytimes,0.0,0.098,0.098,0.804,100
